12        全球变化与海气相互作用21          xx所        某洋南部  GASI-02-IND-STSsum            海测330120160721135901-0800  102   路人甲                   GPS探空仪 CF-06-A
22STC083  120160721135901 073018.00S 1043045.10E  6   16.001-9-9.99 28.392 1009.202  76.801   0.212  49.701 
22STC083  120160721135902 073018.04S 1043045.10E  6   13.901-9-9.99 28.352 1009.272  76.801   0.202  55.201 
22STC083  120160721135903 073018.04S 1043045.15E  6   13.401-9-9.99 28.312 1009.332  76.901   0.182  61.601 
22STC083  120160721135904 073018.04S 1043045.15E  6   12.801-9-9.99 28.262 1009.402  76.901   0.172  68.601 
22STC083  120160721135905 073018.07S 1043045.15E  6   12.301-9-9.99 28.242 1009.462  76.801   0.162  75.601 
22STC083  120160721135906 073018.07S 1043045.18E  6   11.901-9-9.99 28.222 1009.502  76.601   0.152  82.201 
22STC083  120160721135907 073018.07S 1043045.18E  6   11.601-9-9.99 28.232 1009.542  76.401   0.142  88.301 
22STC083  120160721135908 073018.11S 1043045.18E  6   11.401-9-9.99 28.242 1009.562  76.101   0.132  94.501 
22STC083  120160721135909 073018.11S 1043045.21E  6   11.201-9-9.99 28.262 1009.582  76.101   0.112 101.701 
22STC083  120160721135910 073018.14S 1043045.21E  6   11.101-9-9.99 28.262 1009.592  75.801   0.102 105.201 
22STC083  120160721135911 073018.14S 1043045.21E  6   11.101-9-9.99 28.262 1009.592  75.601   0.102 112.601 
22STC083  120160721135912 073018.14S 1043045.21E  6   11.201-9-9.99 28.242 1009.582  75.601   0.092 121.001 
22STC083  120160721135913 073018.14S 1043045.26E  6   11.301-9-9.99 28.222 1009.572  75.701   0.072 123.101 
22STC083  120160721135914 073018.18S 1043045.26E  6   11.401-9-9.99 28.202 1009.552  75.801   0.052 126.201 
22STC083  120160721135915 073018.18S 1043045.29E  6   11.601-9-9.99 28.192 1009.532  75.801   0.032 143.701 
22STC083  120160721135916 073018.22S 1043045.32E  6   11.701-9-9.99 28.192 1009.522  75.801   0.032 166.001 
22STC083  120160721135917 073018.22S 1043045.37E  6   11.901-9-9.99 28.192 1009.512  75.701   0.032 182.001 
22STC083  120160721135918 073018.22S 1043045.37E  6   11.901-9-9.99 28.202 1009.502  75.701   0.032 189.101 
22STC083  120160721135919 073018.22S 1043045.37E  6   11.901-9-9.99 28.212 1009.502  75.701   0.032 195.901 
22STC083  120160721135920 073018.22S 1043045.37E  6   11.901-9-9.99 28.222 1009.502  75.701   0.042 189.901 
22STC083  120160721135921 073018.22S 1043045.37E  6   12.001-9-9.99 28.222 1009.492  75.901   0.042 185.101 
22STC083  120160721135922 073018.25S 1043045.40E  6   12.101-9-9.99 28.222 1009.482  76.301   0.052 187.301 
22STC083  120160721135923 073018.25S 1043045.43E  6   12.201-9-9.99 28.222 1009.462  76.501   0.042 188.101 
22STC083  120160721135924 073018.29S 1043045.46E  6   12.401-9-9.99 28.222 1009.452  76.501   0.032 189.901 
22STC083  120160721135925 073018.32S 1043045.46E  6   12.501-9-9.99 28.222 1009.432  76.301   0.012 173.201 
22STC083  120160721135926 073018.32S 1043045.51E  6   12.701-9-9.99 28.222 1009.412  75.901   0.012 182.801 
22STC083  120160721135927 073018.32S 1043045.51E  6   12.901-9-9.99 28.222 1009.392  75.501   0.012 194.401 
22STC083  120160721135928 073018.32S 1043045.54E  6   13.101-9-9.99 28.222 1009.372  75.201   0.012 206.501 
22STC083  120160721135929 073018.36S 1043045.54E  6   13.101-9-9.99 28.232 1009.362  75.101   0.012 212.201 
22STC083  120160721135930 073018.36S 1043045.54E  6   13.101-9-9.99 28.232 1009.362  75.201   0.012 208.601 
22STC083  120160721135931 073018.40S 1043045.57E  6   12.901-9-9.99 28.242 1009.392  75.301   0.022 198.601 
22STC083  120160721135932 073018.43S 1043045.62E  6   12.701-9-9.99 28.252 1009.412  75.401   0.022 187.801 
22STC083  120160721135933 073018.43S 1043045.62E  6   12.401-9-9.99 28.252 1009.442  75.401   0.022 179.901 
22STC083  120160721135934 073018.43S 1043045.62E  6   12.301-9-9.99 28.232 1009.462  75.301   0.022 175.801 
22STC083  120160721135935 073018.43S 1043045.62E  6   12.301-9-9.99 28.222 1009.462  75.201   0.012 172.401 
22STC083  120160721135936 073018.43S 1043045.65E  6   12.301-9-9.99 28.212 1009.452  75.101   0.012 167.401 
